company,amount_raised,round,investors_participated,date_announced,website,description,city,official_sector,secondary_sector,tertiary_sector,SIREN
Ascendance,7000000,,Bpifrance,2024-05-01,https://www.ascendance-ft.com,"Ascendance operates in sectors such as aerospace, air transportation, and cleantech, providing products and services that leverage its expertise in these areas.",Toulouse,Mobility,CleanTech,SpaceTech & Aerospace,
Stellar,6800000,Seed,"Alchimia Investments, Elewit, Primo Capital",2024-10-08,https://www.stellar.tc,"Stellar operates in sectors such as automotive, internet, and software, providing products and services that leverage its expertise in these areas.",Bordeaux,Other,Mobility,,
Overseed,6700000,Series A,"Blast. Club, UI Investissement",2024-07-03,https://www.overseed.fr/,"Overseed operates in sectors such as biopharma, biotechnology, and product research, providing products and services that leverage its expertise in these areas.",Orléans,BioTech,,,
Firecell,6600000,Seed,"Bouygues Telecom Initiatives, Bpifrance Digital Venture, Matterwave Ventures, Ventech",2024-03-25,https://firecell.io/,Firecell is a company specializing in telecommunications solutions.,Nice,Other,,,
BIOPHTA,6500000,Seed,"Elaia, GO CAPITAL, HTL Biotechnology, UI Investissement, Unither Pharmaceuticals",2024-06-03,https://www.biophta.com,"BIOPHTA operates in sectors such as biotechnology, health care, and medical device, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,MedTech,BioTech,
ALOGIA Groupe,6500000,,"AQUITI Gestion, Banque des Territoires, Credit Agricole Aquitaine Expansion, GSO Innovation, NACO",2024-01-15,https://alogiagroupe.com,"ALOGIA Groupe operates in sectors such as health care, home health care, and recruiting, providing products and services that leverage its expertise in these areas.",Bordeaux,HealthTech,,,
Evergaz,6400000,Growth Equity,"SWEN Capital Partners, Meridiam",,evergaz.com,Evergaz is a company providing innovative solutions in its industry.,Paris,Other,,,504158395
Lokki,6300000,Series A,"50 Partners, Blisce, FJ Labs, MakeSense, Racine2, Silence VC",2024-07-31,https://www.lokki.rent,"Lokki operates in sectors such as b2c, marketplace, and rental, providing products and services that leverage its expertise in these areas.",Grenoble,SaaS,PropTech,E-commerce & Retail,
Spotlight Medical,6200000,Seed,"Heal Capital, Kurma Partners",2024-07-12,https://spotlightmedical.com,"Spotlight Medical operates in sectors such as artificial intelligence, biotechnology, and health care, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,Artificial Intelligence,BioTech,
Dotfile,6000000,Series A,"Hexa, Seaya Ventures, Serena",2024-09-25,https://www.dotfile.com,"Dotfile operates in sectors such as compliance, internet, and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,LegalTech,,
ANOZR WAY,6000000,Series A,"BNP Paribas Développement, Breizh Up, Hi Inov - Dentressangle",2024-03-12,https://www.anozrway.com,"ANOZR WAY operates in sectors such as cyber security and software, providing products and services that leverage its expertise in these areas.",Cesson-sévigné,Cybersecurity,,,
Temo,6000000,Series A,"At One Ventures, Blueprint Partners, Bpifrance, Jean-Christophe Kugler",2024-01-18,https://www.temofrance.com/en_GB,"Temo operates in sectors such as electric vehicle and transportation, providing products and services that leverage its expertise in these areas.",Vannes,Mobility,,,
Dealt,6000000,Series A,"GO CAPITAL, Holnest, La Poste Ventures, Melting Capital, NEO FOUNDERS, One Green, XAnge",2024-06-05,https://www.dealt.fr/,"Dealt operates in sectors such as customer service, e-commerce, and retail, providing products and services that leverage its expertise in these areas.",Levallois,Artificial Intelligence,E-commerce & Retail,,
Mipise,6000000,Series A,,2024-01-23,https://www.mipise.com/fr,"Mipise operates in sectors such as crowdfunding and web design, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
D-ICE Engineering,6000000,Series A,"Atlantique Vendée Innovation, Mer Invest, Pays de la Loire Participations, Sodero Gestion, Swen Capital Partners",2024-07-24,https://dice-engineering.com/,"D-ICE Engineering operates in sectors such as marine technology, operating systems, and professional services, providing products and services that leverage its expertise in these areas.",Nantes,Other,,,
Heex Technologies,6000000,Seed,"Bpifrance, Karista, SHIFT Invest, Techstars",2024-01-18,https://heex.io,"Heex Technologies operates in sectors such as artificial intelligence, autonomous vehicles, and data collection and labeling, providing products and services that leverage its expertise in these areas.",Paris,Robotics,Artificial Intelligence,Mobility,
CERES BRAIN Therapeutics,6000000,Seed,"ANJAC SAS, Thomas Joudinaud",2024-01-22,https://www.ceres-brain.com/,"CERES BRAIN Therapeutics operates in sectors such as manufacturing and pharmaceutical, providing products and services that leverage its expertise in these areas.",Paris,Hardware,BioTech,,
Hypr Space (Hybrid Propulsion for Space),6000000,Seed,"Bpifrance, Expansion Ventures",2024-04-29,https://hybrid-propulsion.space,"Hypr Space (Hybrid Propulsion for Space) operates in sectors such as aerospace and space travel, providing products and services that leverage its expertise in these areas.",Bordeaux,SpaceTech & Aerospace,TravelTech,,
Biolevate,6000000,Seed,"Bpifrance, EQT Ventures, Mehdi Ghissassi",2024-11-25,https://www.biolevate.com,"Biolevate operates in sectors such as artificial intelligence, biotechnology, and therapeutics, providing products and services that leverage its expertise in these areas.",Paris,BioTech,Artificial Intelligence,,
Samp,6000000,,"HTGF (High-Tech Gruenderfonds), Innovacom, Kvanted Ventures, Promus Ventures",2024-09-16,https://samp.ai,"Samp operates in sectors such as 3d technology, machine learning, and software, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
Sirfull Technology,6000000,,"Capital Grand Est, Demeter, Innovacom, Wille Finance",2024-09-02,https://www.sirfull.com,"Sirfull Technology operates in sectors such as computer and software, providing products and services that leverage its expertise in these areas.",Schiltigheim,Other,,,
Stirweld,6000000,,"Bpifrance, Breizh Up, Pertinence Invest, Xplore",2024-07-16,https://stirweld.com/en/about/,"Stirweld operates in sectors such as industrial automation, industrial engineering, and industrial manufacturing, providing products and services that leverage its expertise in these areas.",Saint-grégoire,Hardware,Robotics,,
Alpagga,6000000,,"50 Partners, Acurio Ventures, AFI Ventures, Audrey Soussan, Brendon Blacker, Delivery Hero Ventures, Fabrice Grinda, FJ Labs, Laurent Babut, Lucile Brachet, Mamadou Dembele, Ring Capital",2024-11-04,https://alpagga.com/,"Alpagga operates in sectors such as marketing, marketplace, and sales, providing products and services that leverage its expertise in these areas.",Paris,MarTech,E-commerce & Retail,,
Vaxinano,6000000,,"Bpifrance, Captech Santé, Nord France Amorcage, TCD Capital (ex TheClubDeal), WiSEED",2024-10-29,http://www.vaxinano.com/,"Vaxinano operates in sectors such as biotechnology, clinical trials, and delivery, providing products and services that leverage its expertise in these areas.",Lille,BioTech,HealthTech,Mobility,
Zest,6000000,,"GO CAPITAL, Reflexion Capital",2024-05-14,http://www.zestmeup.com,"Zest operates in sectors such as apps, human resources, and software, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
TRYON Environnement,6000000,,"EREN Groupe, Ovive, Starquest Capital",2024-01-31,https://www.tryon-environnement.com,"TRYON Environnement operates in sectors such as agriculture and information technology, providing products and services that leverage its expertise in these areas.",Paris,AgriTech,,,
Onafis,6000000,,"Bamboo, Bpifrance, Cléry, Credit Agricole Atlantique Vendee, Demeter, Holnest, Sodero, Xinomavro Ventures",2024-06-11,https://www.onafis.com,"Onafis operates in sectors such as food and beverage, wine and spirits, and winery, providing products and services that leverage its expertise in these areas.",Saint-herblain,Mobility,FoodTech,,
Omnidoc,6000000,,"Alven, Kurma Partners, Newfund",2024-12-03,https://omnidoc.fr/,"Omnidoc operates in sectors such as collaboration, health care, and medical, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,,,
HEPTA Medical,5700000,Series A,"Bpifrance, Cléry, M&L Healthcare Investments",2024-09-04,https://www.heptamed.com,"HEPTA Medical operates in sectors such as health care, medical, and medical device, providing products and services that leverage its expertise in these areas.",Suresnes,HealthTech,MedTech,,
Formality,5600000,Seed,"Partech, Serena",2024-10-02,https://www.formality.com/,"Formality operates in sectors such as legal and saas, providing products and services that leverage its expertise in these areas.",Évry,SaaS,LegalTech,,
Dark,5600000,Seed,"Eurazeo, Frst, Long Journey Ventures",2024-04-15,https://www.dark-space.co/,Dark is a company specializing in aerospace solutions.,Paris,SpaceTech & Aerospace,,,
La Fourche,5500000,Series B,"Anterra Capital, Eight Roads Ventures, Five Seasons Ventures, Founders Future, Heartcore Capital",2024-01-15,https://lafourche.fr/,"La Fourche operates in sectors such as e-commerce, internet, and organic, providing products and services that leverage its expertise in these areas.",La Courneuve,E-commerce & Retail,,,
Probabl,5500000,Seed,"Apertu Capital, Bpifrance, Maxime Paradis, Mozilla Ventures, Paradise Club",2024-09-14,https://probabl.ai,"Probabl operates in sectors such as artificial intelligence, fraud detection, and machine learning, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
Revyze,5500000,Seed,"Ilkka Paananen, Ligature VC, Moonfire Ventures, Motier Ventures, Nickey Skarstad, Riccardo Zacconi, Sebastian Knutsson, Speedinvest, STATION F",2024-10-08,https://www.revyze.fr/,"Revyze operates in sectors such as apps, edtech, and higher education, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
Aerleum,5500000,Seed,"360 Capital, Bpifrance, HTGF (High-Tech Gruenderfonds), Marble, Norrsken VC",2024-10-14,https://www.aerleum.com,Aerleum is a company specializing in chemical solutions.,Strasbourg,Other,,,
Eclipse,5500000,Seed,Wind,2024-05-15,https://eclipse-flow.com,"Eclipse operates in sectors such as battery, energy, and greentech, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Energy,,
Lyo UWP,5400000,Seed,,2024-02-27,https://www.lyo-uwp.com/,"Lyo UWP operates in sectors such as lead generation, web design, and web development, providing products and services that leverage its expertise in these areas.",Paris,Mobility,,,
Malibou,5399995,,,2024-12-20,https://www.malibou.co,"Malibou operates in sectors such as bookkeeping and payroll, human resources, and software, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
Surge,5300000,Seed,"50 Partners, Boutique Venture Partners, Eurazeo, HCVC, Kima Ventures, Malakoff Humanis, Teampact ventures",2024-03-27,https://www.surge.care,"Surge operates in sectors such as artificial intelligence, biotechnology, and electronic health record, providing products and services that leverage its expertise in these areas.",Illkirch-graffenstaden,HealthTech,Artificial Intelligence,BioTech,
SCOP3,5200000,Seed,"Aris Occitanie, Groupe NICOLLIN, IRDI SORIDEC Gestion, NGB Invest, Sofilaro",2024-05-16,https://www.scop3.com/,"SCOP3 operates in sectors such as environmental consulting, recycling, and waste management, providing products and services that leverage its expertise in these areas.",Montpellier,CleanTech,,,
Guided Energy,5200000,Seed,"Better Angle, Dynamo, Michael Rolle, Nico Rosberg, No Label Ventures, Sequoia Capital",2024-02-06,https://guided.energy/,"Guided Energy operates in sectors such as electric vehicle, energy, and energy management, providing products and services that leverage its expertise in these areas.",Paris,Mobility,Energy,,
HawkCell,5000000,Series A,"Bpifrance, MIG Capital",2024-03-11,https://hawkcell.com,"HawkCell operates in sectors such as life science, medical, and veterinary, providing products and services that leverage its expertise in these areas.",Lyon,BioTech,,,
Mercateam,5000000,Series A,"Isai, OSS Ventures, Ternel",2024-06-11,https://merca.team,"Mercateam operates in sectors such as information technology, small and medium businesses, and software, providing products and services that leverage its expertise in these areas.",Aulnay-sous-bois,Other,,,
TEEPTRAK,5000000,Series A,"Électricité de France, SHIFT Invest, Sia Partners, XAnge",2024-11-12,http://www.teeptrak.com/en/,TEEPTRAK is a company specializing in software solutions.,Paris,Other,,,
Korint,5000000,Seed,"360 Capital, Ventech",2024-09-06,https://korint.io/,"Korint operates in sectors such as fintech, information technology, and insurance, providing products and services that leverage its expertise in these areas.",Paris,InsurTech,FinTech,,
DinMo,5000000,Seed,"468 Capital, big_bets, Financiere Saint James, Motier Ventures, Seedcamp",2024-10-02,https://www.dinmo.io/,"DinMo operates in sectors such as information technology, product design, and software, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
Generare,5000000,Seed,"Better Angle, Galion.exe, Saras Capital, SynBioVen, Teampact ventures, VIVES Funds",2024-10-07,https://generare.bio,"Generare operates in sectors such as analytics, artificial intelligence, and biotechnology, providing products and services that leverage its expertise in these areas.",Paris,BioTech,Artificial Intelligence,,
Kolet,5000000,Seed,"BNVT Capital, Daphni",2024-03-13,https://www.kolet.com,"Kolet operates in sectors such as apps, internet, and mobile apps, providing products and services that leverage its expertise in these areas.",Paris,TravelTech,,,
Phocea DC,5000000,Seed,Reflexion Capital,2024-01-08,https://www.phocea-dc.com,"Phocea DC operates in sectors such as data center, information technology, and software, providing products and services that leverage its expertise in these areas.",Marseille,Other,,,
Mindflow,5000000,Seed,"Auriga Cyber Ventures, Nauta Capital, Olivier Pomel, Thales Corporate Ventures",2024-03-12,https://mindflow.io/,"Mindflow operates in sectors such as cyber security, devops, and information technology, providing products and services that leverage its expertise in these areas.",Paris,SaaS,Cybersecurity,,
Storio Energy,5000000,Seed,"Bpifrance Large Venture, Kima Ventures, Lowercarbon Capital",2024-10-15,https://www.storioenergy.com,Storio Energy is a company specializing in energy storage solutions.,Aulnay-sous-bois,Energy,,,
Hipli,5000000,Seed,"Ademe, Antoine Pottiez, Bpifrance, Citeo, Credit Mutuel",2024-06-05,https://hipli.fr,"Hipli operates in sectors such as packaging services, recycling, and waste management, providing products and services that leverage its expertise in these areas.",Le Havre,Other,CleanTech,,
MYCOPHYTO,5000000,Seed,"Banque Populaire, Bpifrance, Caisse d’Epargne Côte d’Azur, CDG Invest, CHANEL, Crédit Agricole, Noshaq",2024-06-01,https://www.mycophyto.fr,"MYCOPHYTO operates in sectors such as agtech, biotechnology, and environmental consulting, providing products and services that leverage its expertise in these areas.",Valbonne,BioTech,,,
Sorella Care,5000000,Seed,"Blisce, Vorwerk Ventures",2024-02-26,https://www.sorella-care.com/,"Sorella Care operates in sectors such as health care, hospital, and women's, providing products and services that leverage its expertise in these areas.",Moulineaux,HealthTech,,,
Avatar Medical,5000000,Seed,"Acorn Pacific Ventures, Cenitz, CoreNest Capital, GO CAPITAL, Plug and Play, Rives Croissance",2024-02-19,https://avatarmedical.ai/,"Avatar Medical operates in sectors such as education and virtual reality, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
Kelvin,5000000,Seed,"Kima Ventures, Motier Ventures, Racine2, RAISE, Seedcamp, Serena",2024-06-11,https://www.go-kelvin.com/,"Kelvin operates in sectors such as artificial intelligence, home renovation, and property management, providing products and services that leverage its expertise in these areas.",Montreuil,Artificial Intelligence,PropTech,,
Caats,5000000,Seed,Otium Capital,2024-06-21,https://caats.co/,"Caats operates in sectors such as customer service, food and beverage, and health care, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,FoodTech,,
Equitable Earth,5000000,Seed,"AENU, LocalGlobe, noa",2024-12-05,https://www.eq-earth.com/,"Equitable Earth operates in sectors such as environmental consulting, greentech, and remote sensing, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,,,
Bitstack,5000000,Seed,"AG2R La Mondiale, Founders Future, Plug and Play, Serena, STATION F, StillMark, Y Combinator",2024-12-12,https://bitstack-app.com,"Bitstack operates in sectors such as bitcoin, fintech, and internet, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,
Siit,5000000,Seed,"Seventure Partners, StageOne Ventures",2024-11-07,https://www.siit.io/,"Siit operates in sectors such as information technology, it management, and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,,,
Gaya,5000000,Seed,"Karmen, Lita.co, Via ID",2024-07-08,https://gaya.bike/,Gaya is a company specializing in electric vehicle solutions.,Paris,Mobility,,,
Qomon,5000000,Seed,"Asterion Ventures, Better Angle, Good Only Ventures, Ternel",2024-11-14,https://qomon.com/platform,"Qomon operates in sectors such as big data, information technology, and non profit, providing products and services that leverage its expertise in these areas.",Paris,SaaS,,,
Intent Technologies,5000000,,Amundi Private Equity Funds,2024-09-25,https://intent.tech/,"Intent Technologies operates in sectors such as information technology, real estate, and software, providing products and services that leverage its expertise in these areas.",Lille,PropTech,,,
Moment,5000000,,TP ICAP,2024-03-01,https://www.moment.tech,"Moment operates in sectors such as advertising, content, and content marketing, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,MarTech,,
ADEMEURE,5000000,,"Enthéos, Genetio, Région Nouvelle-Aquitaine, Stellar Impact",2024-04-02,http://www.ademeure.fr,"ADEMEURE operates in sectors such as construction, property development, and smart building, providing products and services that leverage its expertise in these areas.",Langon,Mobility,PropTech,,
Towt,5000000,,"Atlante Gestion, Bpifrance, Caisse des Dépôts et Consignations, Crédit Industriel et Commercial, Crédit Mutuel Impact",2024-04-29,https://www.TOWT.eu,"Towt operates in sectors such as freight service, shipping, and water transportation, providing products and services that leverage its expertise in these areas.",Le Havre,Mobility,,,
Panodyssey,5000000,,European Commission,2024-04-24,https://panodyssey.com/fr,"Panodyssey operates in sectors such as creative agency, publishing, and social media, providing products and services that leverage its expertise in these areas.",Aisey-sur-seine,Entertainment,MarTech,,
Acwa Robotics,4800000,Seed,"Banque des Territoires, CAAP Creation, Calao Finance, FMG Circular Invest, Région Sud Investissement, UI Investissement",2024-01-25,https://www.acwa-robotics.com,"Acwa Robotics operates in sectors such as embedded software, embedded systems, and machinery manufacturing, providing products and services that leverage its expertise in these areas.","Bastia, Corse ",Robotics,,,
Vizcab,4500000,Series A,"Brick & Mortar Ventures, Global Brain Corporation, KOMPAS VC",2024-05-28,https://vizcab.io,Vizcab is a company specializing in construction solutions.,Lyon,PropTech,,,
HEPHAISTOS-Pharma,4500000,Seed,"Angels Santé, Elaia, Femmes Business Angels, Fournier-Majoie, Meusinvest (Noshaq), XISTA Science Ventures",2024-01-23,https://hephaistos-pharma.fr/,"HEPHAISTOS-Pharma operates in sectors such as biotechnology and oncology, providing products and services that leverage its expertise in these areas.",Orsay,BioTech,,,
Quiet,4500000,Seed,"Pareto Holdings, Varsity",2024-10-23,https://www.quiet.app,Quiet is a company specializing in mobile apps solutions.,Paris,Other,,,
Gamestream,4500000,,"Audacia, Bpifrance",2024-03-14,https://gamestream.biz,"Gamestream operates in sectors such as gaming, video games, and video streaming, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,Gaming,,
GEEV,4500000,,"BNP Paribas Développement, Daphni, NACO, Omnes Capital, Sacha Pavoine, Team for the Planet",2024-02-09,https://geev.com,"GEEV operates in sectors such as communities, internet, and mobile apps, providing products and services that leverage its expertise in these areas.",Bordeaux,Other,,,
Kriptown,4200000,Series A,"BNP Paribas, Bpifrance, Centilux Family Office",2024-10-08,https://www.kriptown.com,"Kriptown operates in sectors such as blockchain, financial services, and fintech, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Web3,,
Lise,4200000,Series A,"BNP Paribas, Bpifrance",2024-10-09,http://www.lise.com/?utm_source=crunchbase&utm_medium=socialutm_campaign=ref,"Lise operates in sectors such as blockchain, financial exchanges, and financial services, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Web3,,
Kapsera,4200000,Series A,"Banque des Territoires, Demeter, The Yield Lab Europe",2024-11-26,https://www.kapsera.com/,"Kapsera operates in sectors such as agriculture, agtech, and biotechnology, providing products and services that leverage its expertise in these areas.",Bordeaux,BioTech,AgriTech,,
Syntetica,4200000,Seed,"Athletico Ventures, Bear Flag Capital, Better Angle, EQT Ventures, Etam Group, Jean-Eric Vergne, Pareto Holdings, Patrice Lafargue, Paul-Henri Mathieu, Peugeot SA, Volta Circle",2024-07-16,https://www.syntetica.co,"Syntetica operates in sectors such as manufacturing and textiles, providing products and services that leverage its expertise in these areas.",Reims,Hardware,,,
Usual,4200000,Seed,"Avid3, Bing Ventures, Bookclub, Breed, Capsule Labs, Christopher Grilhault des Fontaines, Clarisse Hagege, DCF GOD, Flowdesk, FunFair Ventures, Georgios Vlachos, GSR, High Stakes Capital, Hypersphere Ventures, IOSG Ventures, Jacek Czarnecki, Jason Ma, Jeff K., Jordi Alexander, KaizenDAO, Kalpha DAO, Kima Ventures, LBANK Labs, Mantle Network, Nicolas Bacca, OX salazar, Pleb Capital, polynya, Primony, Psalion, Public Works, Rand Hindi, Sam node, Sebastien Couture, Spencer Noon, StarkWare Industries, TRGC, Triton Capital, X Ventures",2024-04-17,https://usual.money/,"Usual operates in sectors such as cryptocurrency, decentralized finance, and financial services, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,
La Solive,4000000,Series A,"Brighteye Ventures, Clément Delpirou, Partech, Thibaud Hug de Larauze, Vincent Bryant",2024-09-25,http://www.la-solive.com,"La Solive operates in sectors such as consulting, professional networking, and training, providing products and services that leverage its expertise in these areas.",Paris-l'hopital,Artificial Intelligence,,,
Money Walkie,4000000,Series A,"Caisse d'Epargne Ile-de-France, Groupe BPCE, Groupe M6",2024-11-13,https://moneywalkie.com/,"Money Walkie operates in sectors such as edtech, fintech, and payments, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,
Phacet,4000000,Seed,"Aglaé Ventures, AH Capital, Antoine Fabre, Better Angle, Damien Marc, Des Traynor, Emblem, Financiere Saint James, Florian Douetteau, Guillaume Moubeche, Kima Ventures, Motier Ventures, Origins Fund, Philippe Corrot, Robin Capital, Rodolphe Ardant, Thibaud Elziere",2024-09-20,https://www.phacetlabs.com/,"Phacet operates in sectors such as artificial intelligence and service industry, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
Bohr Energy,4000000,Seed,"AFI Ventures, Founders Future, Varsity",2024-09-17,https://www.bohr-energie.fr/,"Bohr Energy operates in sectors such as energy, power grid, and renewable energy, providing products and services that leverage its expertise in these areas.",Toulouse,CleanTech,Energy,,
nopillo,4000000,Seed,"Kima Ventures, Newfund, SIDE Capital, Super Capital VC",2024-09-17,https://nopillo.com,"nopillo operates in sectors such as fintech, real estate, and web apps, providing products and services that leverage its expertise in these areas.",Paris,FinTech,PropTech,,
Trust-Place,4000000,Seed,"CAAP Creation, Netangels, Reflexive Capital, Région Sud Investissement, Smalt Capital, WinEquity",2024-09-12,https://www.trust-place.com,"Trust-Place operates in sectors such as consulting, information technology, and saas, providing products and services that leverage its expertise in these areas.",Marseille,SaaS,,,
RIVRS,4000000,Seed,Pleiade Venture,2024-10-03,https://rivrs.io/,"RIVRS operates in sectors such as gaming and pc games, providing products and services that leverage its expertise in these areas.",Rennes,Gaming,,,
Keysom,4000000,Seed,"Bpifrance, Epopée Gestion, EuroBIM, IRDI SORIDEC Gestion",2024-10-08,https://keysom.io/,Keysom is a company providing innovative solutions in its industry.,Pessac,Other,,,
Billy,4000000,Seed,"Accel, Izun Partners, Stake Capital",2024-11-05,https://www.billyapp.live/,"Billy operates in sectors such as events, media and entertainment, and music, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,,,
Sora,4000000,Seed,"Daphni, Kernel Investissements",2024-01-18,https://sora.space/en,"Sora operates in sectors such as employment, office supplies, and real estate, providing products and services that leverage its expertise in these areas.",Paris,PropTech,,,
Deemea,4000000,Seed,"Karista, YZR Capital",2024-06-05,https://deemea.com,"Deemea operates in sectors such as artificial intelligence, database, and health care, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,Artificial Intelligence,,
Pelikan Mobility,4000000,Seed,"Frst, Pale blue dot, Seedcamp",2024-03-21,https://www.pelikan-mobility.com,"Pelikan Mobility operates in sectors such as electric vehicle, logistics, and software, providing products and services that leverage its expertise in these areas.",Paris,Mobility,,,
Optee,4000000,Seed,Blast. Club,2024-07-08,https://www.optee.io,"Optee operates in sectors such as energy, energy management, and environmental consulting, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Energy,,
SquareMind,4000000,Seed,Teampact ventures,2024-07-30,https://squaremind.io/,"SquareMind operates in sectors such as health care and oncology, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,,,
VoltR,4000000,Seed,"Anjou Amorcage, C4 Ventures, Exergon, Pays de la Loire Participations",2024-06-24,https://www.voltr.tech,"VoltR operates in sectors such as battery and manufacturing, providing products and services that leverage its expertise in these areas.",Nantes,Energy,,,
Trendex,4000000,Seed,Karim Benzema,2024-05-31,https://trendex.tech/,"Trendex operates in sectors such as cryptocurrency, fintech, and gaming, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Gaming,,
Kog,4000000,Seed,Varsity,2024-02-08,https://kog.ai,Kog is a company providing innovative solutions in its industry.,Paris,Other,,,
Spiko,4000000,Pre-Seed,"Adrien Montfort, Blockwall, Bpifrance, Financiere Saint James, Frederic Montagnon, Frst, Jean Charles Samuelian, Kima Ventures, Nicolas Bacca, Valentine Baudouin",2024-06-11,https://www.spiko.io,"Spiko operates in sectors such as blockchain, financial services, and fintech, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Web3,,
Mon Petit Placement,4000000,Crowdfunding,,2024-04-16,https://www.monpetitplacement.fr,"Mon Petit Placement operates in sectors such as financial services, fintech, and wealth management, providing products and services that leverage its expertise in these areas.",Écully,FinTech,,,
Bluefins,4000000,,"BNP Paribas Développement, Breizh Up, GTT Strategic Ventures",2024-09-30,https://bluefins-systems.com,"Bluefins operates in sectors such as renewable energy and shipping, providing products and services that leverage its expertise in these areas.",Brest,CleanTech,Energy,,
Neosilver,4000000,,"Banque des Territoires, Mirova",2024-09-12,https://neosilver.fr/,"Neosilver operates in sectors such as communities, elder care, and social, providing products and services that leverage its expertise in these areas.",Paris,Other,HealthTech,,
Tereos,4000000,,Co-op,2024-01-11,https://tereos.com/en,"Tereos operates in sectors such as agriculture, agtech, and food processing, providing products and services that leverage its expertise in these areas.",Origny-sainte-benoîte,AgriTech,FoodTech,,
AdEchoTech,4000000,,"Banque des Territoires, Cléry, Crédit Agricole, Group IDEC INVEST, UI Investissement",2024-10-09,http://www.adechotech.com/,"AdEchoTech operates in sectors such as fitness, health care, and medical, providing products and services that leverage its expertise in these areas.",Naveil,HealthTech,,,
NeoLedge,4000000,,Elevation Capital Partners,2024-03-19,https://www.neoledge.com/us/,NeoLedge is a company specializing in software solutions.,Strasbourg,Other,,,
CryoCollect,4000000,,"ENGIE New Ventures, GTT Strategic Ventures",2024-05-21,https://www.cryocollect.com,"CryoCollect operates in sectors such as environmental engineering and oil and gas, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,,,
Vetbiolix,4000000,,"Bpifrance, Captech Santé, Nord France Amorcage, Tudigo",2024-12-06,https://www.vetbiolix.com/,Vetbiolix is a company providing innovative solutions in its industry.,Loos,Other,,,
Argil,3900000,Seed,"Charles Gorintin, EQT Ventures, Jordi Van den Bussche, Y Combinator",2024-11-27,https://argil.ai,"Argil operates in sectors such as artificial intelligence, generative ai, and software, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,Artificial Intelligence,,
Sinay,3800000,Series A,"Alpana Ventures, Motion Ventures, Normandie Littoral, Seventure Partners, Shift4Good",2024-08-02,https://sinay.ai,"Sinay operates in sectors such as analytics and marine technology, providing products and services that leverage its expertise in these areas.",Caen,Other,,,
Standing Ovation,3750000,Series A,,2024-09-13,https://standing-ovation.co,"Standing Ovation operates in sectors such as alternative protein, biotechnology, and dairy, providing products and services that leverage its expertise in these areas.",Paris,BioTech,FoodTech,,
RebrAIn,3700000,Seed,"Karista, NACO",2024-03-18,https://rebrain.eu/en,"RebrAIn operates in sectors such as hospital, life science, and neuroscience, providing products and services that leverage its expertise in these areas.",Pessac,BioTech,,,
Hylight,3700000,Seed,"Abhishek Tripathi, Collaborative Fund, Earth Venture Capital, Kima Ventures, Marc Tarpenning, Ring Capital, Y Combinator",2024-04-15,https://www.hylight.aero/,Hylight is a company providing innovative solutions in its industry.,Le Plessis-pâté,Other,,,
altrove AI,3700000,Pre-Seed,"Contrarian Ventures, Emblem, Julien Chaumond, Nikolaj Deichmann, Thomas Clozel",2024-07-03,https://altrove.ai,"altrove AI operates in sectors such as advanced materials, artificial intelligence, and manufacturing, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
Decade Energy,3600000,Seed,"Ananda Impact Ventures, Contrarian Ventures",2024-06-04,https://www.decade.energy/,"Decade Energy operates in sectors such as electric vehicle, logistics, and software, providing products and services that leverage its expertise in these areas.",Paris,Mobility,Energy,,
