name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Photoroom,Paris,"AI & Machine Learning, MarTech",startup,Series B,43000000,USD,43000000,https://photoroom.com,"Photoroom is an AI-enabled image capturing app that offers image retouching, background removal, and batch editing services.",Early Stage Venture,"Aglaé Ventures, Balderton Capital, Y Combinator",2024-02-27,,,
ION-X,Boulogne-billancourt,SpaceTech & Aerospace,startup,Seed,,,,https://ion-x.space,ION-X is the developer of a technology that provides the most efficient propulsion for small spacecraft.,Seed,EIC Accelerator,2024-02-28,,,
Look Up Space,Toulouse,SpaceTech & Aerospace,startup,Seed,,,,https://www.lookupspace.com,"Look Up Space provide space safety and security data & services of unprecedented quality, with a sovereign and secure sensor network.",Seed,EIC Accelerator,2024-02-28,,,
PulseSight Therapeutics,Paris,"BioTech, Mobility & Transportation",startup,Seed,,,,https://pulsesight.com/,PulseSight Therapeutics creates innovative non-viral gene therapies using minimally invasive delivery technology.,Seed,"Korea Investment Partners, +ND Capital, Pureos Bioventures",2024-02-28,,,
Filigran,Paris,Cybersecurity,startup,Series A,15000000,EUR,16257607,https://filigran.io,Filigran provides an open-source cybersecurity solutions including threat intelligence management and cyber risk management.,Early Stage Venture,"Accel, Moonfire Ventures, Motier Ventures",2024-02-28,,,
Wise Integration,Hyères,Energy,startup,Series B,15000000,EUR,16208962,https://wise-integration.com,Wise Integration is a developer of GaN-integrated solutions to miniaturize power supplies and improve energy efficiency.,Early Stage Venture,"Business Angels for Greentech, BNP Paribas, Créazur, Crédit Agricole Alpes Development, imec.xpand, Région Sud Investissement, Supernova Invest",2024-02-29,,,
Quivr,Paris,AI & Machine Learning,startup,Pre-Seed,500000,USD,500000,https://www.quivr.app/,"Quivr is an open-source AI platform that enables organizations to chat with their tools, documentation, APIs, and databases.",Seed,"Eight Capital, Y Combinator",2024-03-01,,,
NotiPark,Paris,"FinTech, AI & Machine Learning",startup,Pre-Seed,,,,https://notipark.com,NotiPark is a fully automated detection and payment solution for parking spaces on public roads using Artificial Intelligence.,Seed,,2024-03-01,,,
Consortium BoatYard Project,Cannes,Other,startup,Pre-Seed,2400000,EUR,2602896,https://www.linkedin.com/company/boatyard-consortium-project,European catamaran manufacturing consolidation platform,Seed,,2024-03-01,,,
Supertalk,Paris,"Entertainment, SaaS & Enterprise",startup,Seed,,,,https://supertalk.me,"Supertalk connects mentors, coaches, and entrepreneurs with users through podcasts and micro-coaching sessions on business and leadership.",Seed,,2024-03-01,,,
Cartage,Pantin,FinTech,startup,Seed,500000,EUR,542270,https://www.cartage.club,Cartage is a carpooling insurance platform.,Seed,Fondation Mines Paris,2024-03-01,,,
PureNat,Anglet,DeepTech,startup,Seed,1500000,EUR,1626810,https://www.pure-nat.com,PureNat is a deeptech company that provides technologies for air purification and environmentally friendly ways to reduce air pollution.,Seed,,2024-03-01,,,
Catalog,Bordeaux,"E-commerce & Retail, SaaS & Enterprise",startup,Pre-Seed,3200000,USD,3200000,https://www.startcatalog.com/,Catalog is the first plug-and-play tool exclusively designed to digitise small-to-medium B2B merchants ordering process.,Seed,"Business Angel Tech Investors (ATI), Hello World, Hexa, Kima Ventures, LocalGlobe, Motier Ventures",2024-03-04,,,
EvaluationsHub,La Ferté-sous-jouarre,SaaS & Enterprise,startup,Seed,150000,EUR,162812,https://www.evaluationshub.com/,Supplier performance management automation,Seed,,2024-03-04,,,
Foodflow,Paris,E-commerce & Retail,startup,Seed,2000000,EUR,2170831,https://foodflow.fr,"FoodFlow offers a marketplace model for local, responsible brands to restaurateurs.",Seed,"Jérémy Gotteland, Jeriko, Nicolas Schweitzer, Pareto Holdings",2024-03-04,,,
Agnostic,Paris,Web3,startup,Seed,2000000,EUR,2170831,https://agnostic.dev,Agnostic is an app development and analytics platform that helps build and analyse blockchain data.,Seed,"Atka, BlueYard Capital, Dominance Ventures, Kima Ventures, Stake Capital Group, TRGC",2024-03-04,,,
GoFlint,Paris,PropTech,startup,Seed,2800000,EUR,3039649,https://www.goflint.fr,GoFlint is an eco-friendly real estate website.,Seed,,2024-03-05,,,
Bene Bono,Paris,E-commerce & Retail,startup,Series A,10000000,EUR,10855889,https://benebono.fr/,Bene Bono is an online store that provides seasonal fruit and vegetable products.,Early Stage Venture,"2050, AVP, Project A Ventures, Stride.VC",2024-03-05,,,
ADN Skis,Annecy-le-vieux,CleanTech,startup,Business Angel,200000,EUR,219022,http://www.adnskis.com,ADN Skis aims to develop technology that integrates eco-design and recycling processes for winter sports equipment.,Seed,"Marc Simoncini, Tony Parker",2024-03-07,,,
Carom,Paris,"Entertainment, Other",startup,Pre-Seed,500,EUR,547,https://www.carom.app/,"Curated real-life experiences, where you find your people.",Seed,Newchip Accelerator,2024-03-08,,,
XPerience.immo,Bègles,PropTech,startup,Seed,1900000,EUR,2079266,https://xp.immo,XPerience.immo is designed for real estate developers to manage their projects effectively.,Seed,"BNP Paribas, Bpifrance, Holnest, One Maker Nation Partners, Societe Generale",2024-03-08,,,
Nijta,Lille,Cybersecurity,startup,Pre-Seed,2000000,EUR,2186129,https://nijta.com,Nijta provides a robust and secure speech anonymization solution to contact centers.,Seed,"Elaia, Finovam Gestion",2024-03-11,,,
Adaptive ML,Paris,AI & Machine Learning,startup,Series A,20000000,USD,20000000,https://www.adaptive-ml.com/,Adaptive ML is a technology firm that develops an LLM platform to help companies train and deploy language models using user feedback.,Early Stage Venture,"Databricks Ventures, Dylan Patel, Factorial, Factorial Capital, Financiere Saint James, ICONIQ Capital, Index Ventures, IRIS, Motier Ventures, Olivier Pomel, Tri Dao, Xavier Niel",2024-03-11,,,
HawkCell,Lyon,MedTech,startup,Series A,5000000,EUR,5465323,https://hawkcell.com,HawkCell is a medical research company that offers MRI solutions for veterinary clinics and preclinical research labs.,Early Stage Venture,"Bpifrance, MIG Capital",2024-03-11,,,
Sublime Energie,Paris,"Energy, Mobility & Transportation",startup,Series A,11500000,EUR,12570243,http://www.sublime-energie.com/,Sublime Energie provides transportation of biogas services.,Early Stage Venture,Crédit Mutuel Impact,2024-03-11,,,
Primo Conciergerie,Nevers,"FinTech, PropTech",startup,Business Angel,1200000,EUR,1311189,https://www.primoconciergerie.fr,"Primo Conciergerie offers expertise in property management, transforming investment into a secure income source.",Seed,,2024-03-12,,,
Mindflow,Paris,SaaS & Enterprise,startup,Seed,5000000,EUR,5463287,https://mindflow.io/,Mindflow is an Agentic Automation Platform that empowers enterprise teams to orchestrate and scale complex workflows instantly.,Seed,"Auriga Cyber Ventures, Nauta Capital, Olivier Pomel, Thales Corporate Ventures",2024-03-12,,,
L'Atout,Paris,SaaS & Enterprise,startup,Seed,1400000,EUR,1529720,https://www.latout.app,"L'Atout is developing an app to assist companies, HR, and employees in better understanding and promoting their benefits.",Seed,Paris Region Venture Fund,2024-03-12,,,
ANOZR WAY,Cesson-sévigné,"Cybersecurity, DefenseTech",startup,Series A,6000000,EUR,6555944,https://www.anozrway.com,"ANOZR WAY Protect the company's strategic assets from cyber-attacks exploiting human vulnerabilities, continuously anticipate attacks, etc.",Early Stage Venture,"BNP Paribas Développement, Breizh Up, Hi Inov - Dentressangle",2024-03-12,,,
Kolet,Paris,TravelTech,startup,Seed,5000000,EUR,5476433,https://www.kolet.com,Kolet is an eSIM card provider that enables users to stay connected to the mobile internet while traveling through an app.,Seed,"BNVT Capital, Daphni",2024-03-13,,,
Lago,Paris,"FinTech, SaaS & Enterprise",startup,Series A,15000000,USD,15000000,http://www.getlago.com,Open Source Billing API for Product-Led SaaS,Early Stage Venture,"Clément Delangue, FirstMark, Meghan Gill, New Wave (VC), Romain Huet, Script Capital, Y Combinator",2024-03-14,,,
Skin and Out,Francheville,"E-commerce & Retail, HealthTech",startup,Business Angel,1500000,EUR,1633542,https://www.skinandout.fr,Skin and Out is a French acne-care brand.,Seed,"Bertrand Thomas, Mathilde Thomas",2024-03-15,,,
Nocloz,Neuilly-sur-seine,"FinTech, SaaS & Enterprise",startup,Pre-Seed,200000,EUR,217806,https://nocloz.com,Nocloz is a French software company that provides a SaaS platform for financial reporting and data management.,Seed,"Business Business Angels, Contribution",2024-03-15,,,
Seelab.ai,Nantes,"SaaS & Enterprise, AI & Machine Learning",startup,Pre-Seed,1000000,EUR,1089028,https://www.seelab.ai,"Saas, Generative AI, Image editing",Seed,"Renaud Guillerm, SIDE Capital, Sylvain Grande",2024-03-15,,,
RebrAIn,Pessac,MedTech,startup,Seed,3700000,EUR,4023156,https://rebrain.eu/en,RebrAIn provides a targeted technology for planning neurosurgical procedures.,Seed,"Karista, NACO",2024-03-18,,,
Kamae,Paris,Cybersecurity,startup,Seed,1400000,EUR,1520638,https://kamae.fr,Kamae is a security software development company that develops security awareness training software for cyber security.,Seed,"Adnexus, Auriga Cyber Ventures, Financière de l'Intendance, Super Capital VC, Vif",2024-03-19,,,
Cure51,Paris,BioTech,startup,Seed,15000000,EUR,16292553,https://www.cure51.com,Cure51 mission is to create a database of cancer survivors to leverage their exceptional biological features.,Seed,"Hitachi Ventures, Life Extension Ventures, Olivier Pomel, Sofinnova Partners, Xavier Niel",2024-03-19,,,
appYuser INSIGHT,Toulouse,SaaS & Enterprise,startup,Business Angel,1500000,EUR,1640633,https://www.appyuser.com/en,appYuser INSIGHT is a SaaS software that monitors web performance and digital experience.,Seed,,2024-03-20,,,
Jacobs Pet,Paris,E-commerce & Retail,startup,Pre-Seed,,,,,"Jacob’s Pet designs and manufactures supplies for dogs and small animals, including toys, grooming tools, and enrichment products.",Seed,,2024-03-20,,,
SteerLight,Grenoble,Mobility & Transportation,startup,Seed,2000000,EUR,2187511,https://steerlight.com/,"SteerLight is a startup that develops LiDAR-based optical sensors, also known as laser-based optical systems, to aid with mobility.",Seed,"LIFTT, Quantonation, Stellantis Ventures",2024-03-20,,,
Green Praxis,Marseille,"CleanTech, SaaS & Enterprise",startup,Seed,1400000,EUR,1531258,http://www.greenpraxis.com,Green PRAXIS reduces vegetation management cost for infrastructure operators. Knowledge and data inform the company's Nature-based solutions,Seed,"AFI Ventures, Open CNP",2024-03-20,,,
Greenly,Paris,"FinTech, ClimateTech",startup,Series B,48000000,EUR,52500271,https://www.greenly.earth/home,"Greenly develops a carbon accounting platform to track, assess, manage, and reduce CO2 emissions.",Early Stage Venture,"Benhamou Global Ventures, Brian Halligan, Energy Impact Partners, Fidelity International Strategic Ventures, Hewlett Packard Enterprise, HSBC, Move Capital, Wind, XAnge",2024-03-20,,,
Klark,Bordeaux,AI & Machine Learning,startup,Seed,,,,https://www.klark.ai,"Klark develops AI-based customer service platforms that streamline operations, automate tasks, and provide personalized experiences.",Seed,"Bpifrance, Emmanuel Grenier, Kima Ventures, Laurent Delaporte, Source Ventures, Super Capital VC, Thibaud Hug de Larauze, Thomas France",2024-03-21,,,
Pelikan Mobility,Paris,"Mobility & Transportation, FinTech",startup,Seed,4000000,EUR,4344841,https://www.pelikan-mobility.com,Building a new type of EV leasing company for commercial fleets: tech-enabled and operations-centric.,Seed,"Frst, Pale blue dot, Seedcamp",2024-03-21,,,
MONSAPO,Paris,"AI & Machine Learning, CleanTech",startup,Pre-Seed,100000,EUR,108584,https://monsapo.com,"AI-powered machines, sustainable waste management converting used cooking oil into biodegradable cleaning products",Seed,Techstars,2024-03-22,,,
Nestor,Montauban-de-bretagne,SaaS & Enterprise,startup,Seed,1200000,EUR,1303002,http://www.wearenestor.com,"Nestor is a digital assistant that simplifies document collection, providing a secure third party to enhance professional exchanges.",Seed,"Autonomie et Solidarité, Finovam Gestion, IRD INVEST, Nord France Amorcage, Pascal Colin",2024-03-22,,,
WaltR,Pompertuzat,DeepTech,startup,Seed,2000000,EUR,2171671,https://waltr.fr/home.html,WaltR is a deep‑tech startup that develops solutions for monitoring and quantifying polluting emissions.,Seed,"Central Innovation, Expansion Ventures, Groupe ADP, Pays de la Loire Participations, SpaceFounders",2024-03-22,,,
Heypster,Paris,Other,startup,Seed,140000,EUR,151302,https://heypster.com/en,Heypster is a privacy-friendly GIF search engine designed to make discovering and sharing GIFs seamless.,Seed,,2024-03-24,,,
GraphLinq Protocol,Paris,"Web3, SaaS & Enterprise",startup,Seed,,,,https://graphlinq.io,GraphLinq Protocol is the no-code protocol for building on Blockchain that automates and performs actions based on events triggered.,Seed,DWF Labs,2024-03-25,,,
Libu,Talence,"HealthTech, BioTech",startup,Seed,1000000,EUR,1083705,https://libu.fr,"Libu provides optimal circadian lighting for offices, regulating biological rhythms and contributing to employee well-being.",Seed,"3A Venture, Adour Business Business Angels, Arts et Métiers Business Business Angels, INSEAD Business Business Angels Alumni France, Synergence",2024-03-25,,,
Firecell,Nice,Hardware,startup,Seed,6600000,EUR,7152456,https://firecell.io/,Firecell is a Telecommunications Industry.,Seed,"Bouygues Telecom Initiatives, Bpifrance Digital Venture, Matterwave Ventures, Ventech",2024-03-25,,,
Air Booster,Le Haillan,"Energy, Hardware",startup,Series A,1500000,EUR,1625558,https://www.airbooster.fr,"Air Booster converts metal cladding into a heat exchanger, circulating air heating up and directing it inside.",Early Stage Venture,Team for the Planet,2024-03-25,,,
Metyos,Paris,"HealthTech, Hardware",startup,Pre-Seed,2300000,EUR,2491475,https://www.metyos.com,Metyos is a biosensor that can monitor the effects of your daily activities.,Seed,"Advans, Bpifrance, Cenitz, Kima Ventures",2024-03-26,,,
Bitstack,Paris,"FinTech, Web3",startup,Seed,,,,https://bitstack-app.com,"Bitstack is a crypto-native neobank that is bringing a better way to manage all things money, with better money.",Seed,Plug and Play,2024-03-26,,,
Tranché,Paris,FoodTech,startup,Series A,,,,https://www.tranchegroupe.com,Tranche is inventing the bakery of tomorrow with the know-how of yesteryear.,Early Stage Venture,Spring Invest,2024-03-26,,,
900.care,Paris,"E-commerce & Retail, CleanTech",startup,Series A,21000000,EUR,22748248,https://900.care/,900.care provides refillable bathroom products that are better for you and the planet,Early Stage Venture,"Blue Oceans Partners, Founders Future, Lombard Odier, White Star Capital",2024-03-26,,,
Surge,Illkirch-graffenstaden,"HealthTech, MedTech",startup,Seed,5300000,EUR,5730678,https://www.surge.care,Surge personalizes the care of patients undergoing surgery by providing an accurate prediction of postoperative infections.,Seed,"50 Partners, Boutique Venture Partners, Eurazeo, HCVC, Kima Ventures, Malakoff Humanis, Teampact ventures",2024-03-27,,,
NetZero,Paris,ClimateTech,startup,Series B,18000000,EUR,19462679,https://netzero.green/,NetZero® is a climate venture specializing in long-term carbon removal from the atmosphere.,Early Stage Venture,STOA,2024-03-27,,,
The Mobile-First Company,Paris,SaaS & Enterprise,startup,Pre-Seed,3500000,EUR,3776867,https://www.themobilefirstcompany.com/,"The Mobile-First Company focuses on developing, expanding, and upgrading mobile apps to simplify your workflow.",Seed,"Emblem, Jean-Baptiste Hironde, Lightspeed Venture Partners, Paul Vidal, Rodolphe Ardant, Thibaud Elziere, Xavier Niel",2024-03-28,,,
Qlower,Paris,"FinTech, PropTech",startup,Seed,600000,EUR,647463,https://www.qlower.com/,"Qlower, accounting & tax automation for real estate investors.",Seed,,2024-03-28,,,
Vision Technology,Pau,"BioTech, Energy",startup,Pre-Seed,600000,EUR,644192,https://www.vision-technology.fr,Vision Technology is creating a novel technology for hydrogen combustion engines that fully utilizes the properties of hydrogen molecules.,Seed,"Bpifrance, Cédric Genet, Group IDEC INVEST, Région Nouvelle-Aquitaine",2024-04-01,,,
Boonty,Bordeaux,SaaS & Enterprise,startup,Pre-Seed,110000,EUR,118102,https://boonty.io,SaaS Customer engagement platform,Seed,,2024-04-01,,,
Empay,Paris,FinTech,startup,Pre-Seed,1000000,EUR,1073653,https://empay.com,"Empay is a value-added payment service, that offers customers to contribute to social impact with no hassle while spending.",Seed,,2024-04-01,,,
Stairling,Paris,AI & Machine Learning,startup,Pre-Seed,,,,https://www.stairling.com/,Stairling is an employment on record platform for gigworkers that empowers them.,Seed,Hook,2024-04-01,,,
Fabuly,Lille,Entertainment,startup,Seed,,,,https://fabuly.io,Fabuly is the place to go to discover the greatest classic novels and short stories of all time.,Seed,,2024-04-01,,,
KohortPay,Marseille,FinTech,startup,Pre-Seed,1200000,EUR,1292182,https://www.kohortpay.com,KohortPay is a gamified social checkout tool that turns clients into influencers for more conversions and reduction of acquisition costs.,Seed,"Bpifrance, OBRATORI, Redstone.VC, VR Ventures, Zone2boost",2024-04-02,,,
Twistr,Paris,TravelTech,startup,Seed,1050000,USD,1050000,https://twistr.com/,Twistr - The ultimate AI Travel Agent,Seed,"Agartha Fund LP, Loyal VC",2024-04-02,,,
Liberare (Formerly Intimately),Paris,E-commerce & Retail,startup,Seed,,,,https://www.liberare.co/,Liberare is an e-tailer for adaptive undergarments and a community for disabled women.,Seed,37 Business Angels,2024-04-02,,,
Topo.io,Paris,SaaS & Enterprise,startup,Pre-Seed,500000,USD,500000,https://www.topo.io,Topo.io is a B2B SaaS company that develops AI Agents for Outbound that work alongside your Sales team.,Seed,Y Combinator,2024-04-03,,,
Kiosk,Paris,"AI & Machine Learning, MarTech",startup,Pre-Seed,500000,USD,500000,https://www.kiosk.so/,Kiosk provides AI powered WhatsApp Marketing platform for companies engage with their customers.,Seed,"10 BOND, Better Angle, Y Combinator",2024-04-03,,,
Kor,Paris,HealthTech,startup,Pre-Seed,3500000,EUR,3793347,https://www.kor.care/,Kor is the leading proactive care platform to prevent disease and optimize health – starting with a next-gen health check-up for employees.,Seed,"AFI Ventures, Evolem Start, RAISE, Ventech",2024-04-03,,,
Malibou,Paris,FinTech,startup,Pre-Seed,500000,USD,500000,https://www.malibou.co,"Malibou is a web tool that enables French SMBs to manage personnel, conduct payroll, and maintain compliance all in one app.",Seed,Y Combinator,2024-04-03,,,
Velomad,Rouen,Mobility & Transportation,startup,Seed,300000,EUR,325144,https://levelomad.com,Velomad is a producer of electrically assisted bicycles.,Seed,,2024-04-03,,,
Viqthor,Saint-germain-en-laye,DeepTech,startup,Seed,1000000,EUR,1083813,https://viqthor.com/,"Viqthor specializes in cutting-edge technology at the intersection of RF, microwaves, photonics, and quantum physics.",Seed,"APOK Invest, Better Angle, IXcore, Kima Ventures",2024-04-03,,,
Iceberg Data Lab,Paris,FinTech,startup,Series A,9200000,EUR,9971084,https://www.icebergdatalab.com/,Iceberg Data Lab offers financial companies with environmental data solutions to report and manage environmental impact.,Early Stage Venture,"AXA Investment Managers, Beringea, MAIF Avenir",2024-04-03,,,
Fluid Topics,Lyon,SaaS & Enterprise,startup,Series B,15000000,EUR,16257202,https://www.fluidtopics.com,"Fluid Topics specializes in technical content publishing, customer service transformation, and field service optimization services.",Early Stage Venture,"Crédit Mutuel Innovation, Kennet Partners, Ventech",2024-04-03,,,
52 Hertz,Plouzané,Hardware,startup,Seed,800000,EUR,866926,https://52-hertz.fr,"52 Hertz has developed the Talkie-Divy, an underwater communications device that enhances safety, fun, and enjoyment in scuba diving.",Seed,"Bpifrance, Breizh Up, Bretagne Sud Business Angels, Finistère Business Angels, IFREMER, Mer Business Angels",2024-04-04,,,
Pigment,Paris,"SaaS & Enterprise, FinTech",startup,Series D,145000000,USD,145000000,https://gopigment.com,Pigment is a business forecasting platform that handles business strategy in real-time.,Late Stage Venture,"Felix Capital, Greenoaks, ICONIQ Growth, IVP, Meritech Capital Partners, Sandberg Bernthal Venture Partners",2024-04-04,,,
Aloen,Toulouse,AI & Machine Learning,startup,Pre-Seed,410000,EUR,444589,https://www.aloen.ai,Aloen provides an AI-powered solution for telephone prospecting and customer relations.,Seed,"Guy Wiriath, Kima Ventures, Paul Le, Thomas Solignac, Unhiders Business Angels, ZEBOX Ventures",2024-04-05,,,
Karyon Food,Paris,E-commerce & Retail,startup,Seed,400000,EUR,433745,https://www.karyonfood.com,Karyon Food is an IT software company that provides online tool for retailer and SME's to manage sales data.,Seed,"Finovam Gestion, Strong Hands",2024-04-05,,,
Weenat,Nantes,AgriTech,startup,Series C,8500000,EUR,9230061,https://weenat.com/contactez-nous/,Weenat developer of agriculture platform that provides farmers with mobile and connected solutions.,Late Stage Venture,"European Circular Bioeconomy Fund, IDIA Capital Investissement, Liberset, Pymwymic",2024-04-09,,,
HysetCo,Saint-denis,"Mobility & Transportation, Energy",startup,Series A,200000000,EUR,214822771,https://www.hysetco.com,HysetCo is a hydrogen mobility start-up that helps its clients shift to zero-emission transportation.,Early Stage Venture,"Air Liquide, Eiffel Investment Group, Hy24, Kouros, RAISE Impact, TotalEnergies, Toyota Finance",2024-04-10,,,
Waitack,Paris,"SaaS & Enterprise, AI & Machine Learning, PropTech",startup,Pre-Seed,500000,EUR,531240,https://waitack.com,SaaS platform for Office Real Estate. AI based Full fledged space planning scenarios generated in a few seconds.,Seed,,2024-04-15,,,
Hylight,Le Plessis-pâté,"Energy, ClimateTech",startup,Seed,3700000,EUR,3931173,https://www.hylight.aero/,Hylight inspects energy infrastructures and provide solutions that makes societies resilient to the effects of climate change.,Seed,"Abhishek Tripathi, Collaborative Fund, Earth Venture Capital, Kima Ventures, Marc Tarpenning, Ring Capital, Y Combinator",2024-04-15,,,
Clarity,Paris,"HealthTech, BioTech",startup,Seed,,,,http://clarity-technologies.com/,Clarity is a clinical-stage company developing mutlisensory stimulation treatments for neurodegenerative diseases.,Seed,"a16z Scout Fund, Cléry, Index Ventures, Jeanne Kehren, Pareto Holdings",2024-04-15,,,
Dark,Paris,SpaceTech & Aerospace,startup,Seed,5600000,EUR,5949883,https://www.dark-space.co/,Dark is a developer of tactical space platforms for collision avoidance and satellite neutralization.,Seed,"Eurazeo, Frst, Long Journey Ventures",2024-04-15,,,
CIBLER,Mérignac,"FinTech, CleanTech, MarTech",startup,Seed,,,,https://www.cibler.com,CibleR is a cause-related fintech. Turnkey solution for Marketing & CSR to target rewards/vouchers/giftcards for a cause or an ecosystem.,Seed,Crédit Agricole,2024-04-16,,,
Abraxio,Lyon,SaaS & Enterprise,startup,Seed,2000000,EUR,2133827,https://abraxio.com,Abraxio is a collaborative platform for the management and piloting of IT departments of SMEs.,Seed,"Crédit Agricole Création, Evolem Start, Franck Dunière, Jean Paul Genoux",2024-04-17,,,
Veesual,Paris,E-commerce & Retail,startup,Seed,7500000,USD,7500000,https://www.veesual.ai/,Augmented Shopping Experiences for fashion. Double the conversion for fashion brands. Powered by proprietary Image Generation Technology,Seed,"AVP, Techstars",2024-04-17,,,
Usual,Paris,FinTech,startup,Seed,4200000,USD,4200000,https://usual.money/,The new playbook for financial freedom.,Seed,"Avid3, Bing Ventures, Bookclub, Breed, Capsule Labs, Christopher Grilhault des Fontaines, Clarisse Hagege, DCF GOD, Flowdesk, FunFair Ventures, Georgios Vlachos, GSR, High Stakes Capital, Hypersphere Ventures, IOSG Ventures, Jacek Czarnecki, Jason Ma, Jeff K., Jordi Alexander, KaizenDAO, Kalpha DAO, Kima Ventures, LBANK Labs, Mantle Network, Nicolas Bacca, OX salazar, Pleb Capital, polynya, Primony, Psalion, Public Works, Rand Hindi, Sam node, Sebastien Couture, Spencer Noon, StarkWare Industries, TRGC, Triton Capital, X Ventures",2024-04-17,,,
TerriFlux,Moirans,FinTech,startup,Seed,600000,EUR,638553,https://terriflux.com,"TerriFlux offers powerful, visual physical accounting software for controlling material flows in limited resources.",Seed,"Banque Populaire, BNP Paribas, Bpifrance, CoopVenture, France Active",2024-04-18,,,
Viapazon,Le Havre,"FinTech, SaaS & Enterprise",startup,Pre-Seed,200000,EUR,213250,https://www.viapazon.com,Viapazon is a collaborative dataroom designed for corporate transaction specialists.,Seed,,2024-04-19,,,
Feel,Paris,HealthTech,startup,Seed,1000000,EUR,1066250,https://feelapp.care/,Feel is a self-therapy smartphone app for depression that is available to everyone.,Seed,,2024-04-19,,,
Payflows,Paris,"FinTech, SaaS & Enterprise",startup,Series A,25000000,EUR,26637344,https://www.payflows.io/,Payflows is a FinTech company that develops a SaaS platform for finance teams.,Early Stage Venture,"Balderton Capital, Headline, Motier Ventures, Pathlight Ventures, Ribbit Capital, The Twenty Minute VC",2024-04-22,,,
Zefir,Paris,PropTech,startup,Series B,11000000,EUR,11720431,https://www.zefir.fr/,"An all-in-one platform that allows people to sell or buy Real Estate in one simple, certain transaction.",Early Stage Venture,"Heartcore Capital, Sequoia Capital, Stride.VC, Third Kind Venture Capital, Zigg Capital",2024-04-22,,,
Estaly,Paris,FinTech,startup,Seed,3600000,EUR,3852847,https://www.estaly.co,Estaly provides insurance products and services for online businesses.,Seed,"212 Founders, CDG Invest, OneRagtime",2024-04-23,,,
RockFi,Paris,FinTech,startup,Seed,3000000,EUR,3210706,https://www.rockfi.fr/,RockFi is a private management company offering wealth management services.,Seed,"Alexandre Dalyac, Amaury Sepulchre, Antoine Freysz, Quentin Nickmans, Varsity",2024-04-23,,,
Edonia,Palaiseau,FoodTech,startup,Pre-Seed,2000000,EUR,2140006,https://www.edonia.eu,Edonia offers plant-based protein food production with low processed & micro-algae based ingredients.,Seed,"Asterion Ventures, Bpifrance Large Venture",2024-04-24,,,
Diag n'Grow,Lille,SaaS & Enterprise,startup,Seed,1000000,EUR,1070003,https://www.diagngrow.com,Diag n'Grow is a SaaS platform evaluates and monitors intangible capital risks for companies.,Seed,Scale Up Capital,2024-04-24,,,
Stables,Paris,Gaming,startup,Seed,,,,https://playstables.io/fr,Stables is a gaming platform based on real French horses.,Seed,"321, PMU, Tezos Foundation",2024-04-24,,,
FlexAI,Paris,"AI & Machine Learning, DeepTech",startup,Seed,28500000,EUR,30495080,https://www.flex.ai/,Intelligent Compute. Infinite Possibilities.,Seed,"Alpha Intelligence Capital, Better Angle, Bpifrance, Elaia, Frst, Heartcore Capital, Karim Beguir, Motier Ventures, Partech",2024-04-24,,,
Paradigme,Paris,E-commerce & Retail,startup,Seed,1200000,EUR,1287210,https://paradigme.fr,Paradigme is the second-hand fashion platform.,Seed,"Campus Fund, Edouard Nattee, Fabrice Lépine, Frédéric Maus, Gregoire Baudry, Hartwood, Ilan Benhaim, Marine de Waziers, Showroomprive, Vanessa Daurian Proust",2024-04-25,,,
VelyVelo,Arcueil,Mobility & Transportation,startup,Seed,3000000,EUR,3218024,https://en.velyvelo.com/,VelyVelo is an e-bike provider for last mile delivery players,Seed,"212 Founders, CDG Invest, MouvemenT & Finance, NCI",2024-04-25,,,
Apiday,Paris,"FinTech, SaaS & Enterprise, CleanTech",startup,Series A,10000000,EUR,10726748,https://apiday.com/,SaaS platform for corporate ESG data management: from regulatory compliance and investor reporting to sustainability certifications,Early Stage Venture,"AENU, Daphni, Galion.exe, Revent, Speedinvest, Swen Capital Partners",2024-04-25,,,
SEEDERAL Technologies,Roubaix,AgriTech,startup,Series A,7100000,EUR,7615991,https://seederal.fr/,Seederal Technologies is an agricultural machinery manufacturing company that produces electric tractors.,Early Stage Venture,"Ankaa Ventures, Breizh Up, Crédit Agricole du Morbihan, Epopée Gestion, Kima Ventures, Supernova Invest, Unigrains",2024-04-25,,,
Pixacare,Strasbourg,MedTech,startup,Pre-Seed,,,,https://pixacare.bio/,Pixacare Application automates wound-healing monitoring.,Seed,,2024-04-26,,,
Klineo,Paris,"HealthTech, MedTech",startup,Seed,2000000,EUR,2142899,http://www.klineo.fr,Klineo is a platform that provides an intuitive and intelligent clinical trial search for oncology patients and doctors.,Seed,Bpifrance,2024-04-29,,,
Hypr Space (Hybrid Propulsion for Space),Bordeaux,"Mobility & Transportation, SpaceTech & Aerospace",startup,Seed,6000000,EUR,6428698,https://hybrid-propulsion.space,"We develop nextgen propulsion technologies, cheaper, quicker and greener for earth to space and space to space transportation systems.",Seed,"Bpifrance, Expansion Ventures",2024-04-29,,,
Carbonfact,Paris,ClimateTech,startup,Series A,15000000,USD,15000000,http://www.carbonfact.com,"Fast, scalable life-cycle assessments to help fashion brands lower their scope 3 emissions.",Early Stage Venture,"Alven, Headline, Y Combinator",2024-04-30,,,
